序号,纬度,经度,河底高程,声呐高程
133,33.4890505,120.0750046,4.68,0.93
134,33.4890505,120.0750044,4.68,0.93
135,33.4890505,120.0750041,4.71,0.92
136,33.4890505,120.0750038,4.71,0.92
137,33.4890506,120.0750035,4.71,0.91
138,33.4890506,120.0750032,4.71,0.92
139,33.4890507,120.0750029,4.71,0.91
140,33.4890508,120.0750026,4.72,0.91
141,33.4890508,120.0750023,4.72,0.91
142,33.4890509,120.0750021,4.72,0.9
143,33.489051,120.0750018,4.75,0.9
144,33.489051,120.0750016,4.74,0.9
145,33.4890511,120.0750013,4.74,0.9
146,33.4890512,120.075001,4.74,0.89
147,33.4890513,120.0750008,4.74,0.9
148,33.4890514,120.0750006,4.71,0.93
149,33.4890515,120.0750003,4.73,0.9
150,33.4890516,120.075,4.73,0.91
151,33.4890516,120.0749998,4.71,0.9
152,33.4890517,120.0749996,4.74,0.87
153,33.4890518,120.0749993,4.74,0.87
154,33.4890519,120.0749991,4.76,0.86
155,33.489052,120.0749988,4.72,0.9
156,33.4890521,120.0749986,4.76,0.87
157,33.4890522,120.0749983,4.76,0.86
158,33.4890522,120.0749981,4.75,0.89
159,33.4890524,120.0749978,4.74,0.88
160,33.4890525,120.0749976,4.76,0.87
161,33.4890526,120.0749973,4.76,0.86
162,33.4890527,120.0749971,4.77,0.86
163,33.4890528,120.0749968,4.74,0.89
164,33.4890529,120.0749966,4.77,0.86
165,33.489053,120.0749963,4.76,0.86
166,33.4890531,120.074996,4.76,0.86
167,33.4890532,120.0749958,4.78,0.85
168,33.4890533,120.0749955,4.76,0.87
169,33.4890534,120.0749953,4.78,0.85
170,33.4890535,120.0749951,4.79,0.85
171,33.4890536,120.0749949,4.79,0.84
172,33.4890537,120.0749946,4.78,0.85
173,33.4890538,120.0749944,4.79,0.83
174,33.4890539,120.0749942,4.8,0.84
175,33.489054,120.074994,4.79,0.84
176,33.4890542,120.0749937,4.8,0.84
177,33.4890543,120.0749935,4.79,0.85
178,33.4890544,120.0749933,4.8,0.84
179,33.4890545,120.0749931,4.81,0.84
180,33.4890547,120.0749929,4.81,0.83
181,33.4890548,120.0749927,4.78,0.84
182,33.489055,120.0749925,4.8,0.83
183,33.489055,120.0749922,4.79,0.84
184,33.4890551,120.074992,4.81,0.83
185,33.4890552,120.0749917,4.81,0.84
186,33.4890554,120.0749915,4.82,0.83
187,33.4890555,120.0749913,4.79,0.85
188,33.4890557,120.0749911,4.82,0.82
189,33.4890558,120.0749909,4.8,0.84
190,33.4890559,120.0749907,4.81,0.83
191,33.489056,120.0749904,4.81,0.84
192,33.4890561,120.0749902,4.81,0.84
193,33.4890563,120.07499,4.83,0.82
194,33.4890564,120.0749898,4.82,0.83
195,33.4890566,120.0749896,4.82,0.82
196,33.4890567,120.0749894,4.81,0.83
197,33.4890569,120.0749892,4.78,0.86
198,33.4890571,120.074989,4.81,0.84
199,33.4890573,120.0749888,4.8,0.84
200,33.4890575,120.0749887,4.82,0.83
201,33.4890577,120.0749884,4.82,0.82
202,33.4890579,120.0749882,4.83,0.81
203,33.4890581,120.074988,4.82,0.82
204,33.4890583,120.0749878,4.81,0.84
205,33.4890584,120.0749875,4.83,0.82
206,33.4890586,120.0749872,4.84,0.82
207,33.4890588,120.074987,4.84,0.81
208,33.489059,120.0749867,4.84,0.81
209,33.4890592,120.0749865,4.86,0.81
210,33.4890594,120.0749862,4.86,0.81
211,33.4890596,120.0749859,4.85,0.8
212,33.4890597,120.0749856,4.86,0.8
213,33.4890599,120.0749853,4.85,0.8
214,33.4890602,120.0749851,4.87,0.79
215,33.4890603,120.0749848,4.86,0.8
216,33.4890605,120.0749845,4.88,0.78
217,33.4890607,120.0749843,4.88,0.78
218,33.4890608,120.0749839,4.89,0.77
219,33.4890611,120.0749837,4.89,0.77
220,33.4890612,120.0749834,4.9,0.77
221,33.4890615,120.0749831,4.88,0.77
222,33.4890617,120.0749828,4.89,0.76
223,33.4890619,120.0749825,4.89,0.76
224,33.4890621,120.0749823,4.9,0.76
225,33.4890623,120.0749819,4.9,0.75
226,33.4890625,120.0749816,4.88,0.77
227,33.4890627,120.0749812,4.89,0.76
228,33.489063,120.074981,4.92,0.73
229,33.4890632,120.0749806,4.94,0.72
230,33.4890633,120.0749803,4.94,0.72
231,33.4890636,120.0749801,4.94,0.72
232,33.4890638,120.0749798,4.93,0.73
233,33.489064,120.0749795,4.92,0.74
234,33.4890642,120.0749792,4.92,0.74
235,33.4890644,120.0749789,4.92,0.74
236,33.4890647,120.0749787,4.88,0.78
237,33.4890649,120.0749784,4.9,0.75
238,33.4890651,120.0749782,4.89,0.76
239,33.4890654,120.0749779,4.91,0.74
240,33.4890656,120.0749777,4.92,0.73
241,33.4890658,120.0749773,4.93,0.73
242,33.4890661,120.0749771,4.92,0.73
243,33.4890662,120.0749767,4.91,0.74
244,33.4890665,120.0749764,4.87,0.78
245,33.4890667,120.0749761,4.91,0.74
246,33.489067,120.0749758,4.89,0.76
247,33.4890673,120.0749755,4.91,0.73
248,33.4890675,120.0749751,4.9,0.74
249,33.4890678,120.0749748,4.92,0.73
250,33.489068,120.0749745,4.89,0.76
251,33.4890682,120.0749742,4.87,0.78
252,33.4890684,120.0749738,4.91,0.75
253,33.4890686,120.0749734,4.9,0.75
254,33.4890689,120.0749731,4.85,0.8
255,33.4890691,120.0749726,4.88,0.76
256,33.4890693,120.0749723,4.89,0.76
257,33.4890696,120.0749719,4.88,0.76
258,33.4890699,120.0749716,4.86,0.77
259,33.4890701,120.0749712,4.86,0.77
260,33.4890703,120.0749708,4.87,0.77
261,33.4890706,120.0749705,4.87,0.77
262,33.4890709,120.0749702,4.87,0.76
263,33.4890711,120.0749699,4.89,0.76
264,33.4890714,120.0749695,4.89,0.76
265,33.4890717,120.0749692,4.89,0.76
266,33.4890719,120.0749688,4.85,0.8
267,33.4890722,120.0749685,4.89,0.75
268,33.4890725,120.0749682,4.9,0.74
269,33.4890727,120.0749679,4.92,0.72
270,33.489073,120.0749675,4.92,0.72
271,33.4890732,120.0749672,4.93,0.72
272,33.4890735,120.0749668,4.93,0.72
273,33.4890737,120.0749664,4.92,0.72
274,33.489074,120.0749661,4.93,0.71
275,33.4890743,120.0749657,4.9,0.75
276,33.4890745,120.0749654,4.93,0.71
277,33.4890748,120.074965,4.93,0.7
278,33.489075,120.0749646,4.95,0.69
279,33.4890753,120.0749643,4.96,0.69
280,33.4890755,120.074964,4.97,0.69
281,33.4890758,120.0749636,4.95,0.69
282,33.489076,120.0749633,4.97,0.68
283,33.4890762,120.074963,4.98,0.67
284,33.4890764,120.0749627,4.98,0.68
285,33.4890766,120.0749624,4.99,0.68
286,33.4890769,120.0749622,4.99,0.68
287,33.4890771,120.0749618,5,0.67
288,33.4890774,120.0749615,4.99,0.67
289,33.4890776,120.0749612,4.97,0.68
290,33.4890778,120.0749609,4.97,0.68
291,33.4890779,120.0749605,4.97,0.68
