2024-08-29 17:07:24,685 - INFO - iterate1£¬e_exp 1.6445922962897983, N:13, p1.9549628844276659 D 0.04770143211778099, eig12.478736771322051, eva2.393967180176628
2024-08-29 17:17:20,961 - INFO - iterate2£¬e_exp 1.7278015847919543, N:18, p1.295 D 0.08051910174471465, eig12.028693140989184, eva2.1247164380949393
2024-08-29 17:27:18,334 - INFO - iterate3£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 17:37:14,044 - INFO - iterate4£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 17:47:12,602 - INFO - iterate5£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 17:57:06,388 - INFO - iterate6£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 18:07:02,341 - INFO - iterate7£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 18:16:38,064 - INFO - iterate8£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 18:17:28,679 - INFO - iterate9£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 18:18:18,808 - INFO - iterate10£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 18:19:08,959 - INFO - iterate11£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 18:19:59,158 - INFO - iterate12£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 18:20:49,340 - INFO - iterate13£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 18:21:39,522 - INFO - iterate14£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 18:22:29,699 - INFO - iterate15£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-29 18:23:19,872 - INFO - iterate16£¬e_exp 1.7504071776712335, N:25, p1.0 D 0.12708285264729396, eig10.812446141463107, eva1.8632595252154274
2024-08-30 14:34:52,090 - INFO - iterate1£¬e_exp 1.3141319957054651, N:15, p1.7054634682165963 D 0.028347074172967376, eig10.542699534933293, eva10.007097653393457
2024-08-30 14:35:43,230 - INFO - iterate2£¬e_exp 1.3141319957054651, N:15, p1.7054634682165963 D 0.028347074172967376, eig10.542699534933293, eva10.007097653393457
2024-08-30 14:36:34,619 - INFO - iterate3£¬e_exp 1.3141319957054651, N:15, p1.7054634682165963 D 0.028347074172967376, eig10.542699534933293, eva10.007097653393457
2024-08-30 14:37:26,111 - INFO - iterate4£¬e_exp 1.3141319957054651, N:15, p1.7054634682165963 D 0.028347074172967376, eig10.542699534933293, eva10.007097653393457
2024-08-30 14:44:17,008 - INFO - iterate1£¬e_exp 1.2594292649762755, N:10, p1.315 D 0.024446521332454254, eig11.140245701460326, eva12.186631780936843
2024-08-30 14:54:09,566 - INFO - iterate2£¬e_exp 1.264897388069081, N:19, p1.313 D 0.061763631595207036, eig9.699248974579387, eva9.306530652283016
2024-08-30 15:03:57,132 - INFO - iterate3£¬e_exp 1.2644477706350523, N:25, p1.313 D 0.0826742652086119, eig8.956668501034335, eva8.387698021826184
